ID,名称,昵称,等级,职位,加入时间,上次登录时间,下线时间,本周功勋,累计功勋,斗技积分,累计勋章,赠送次数,受赠次数,今日任务完成次数,本周任务完成次数,道馆完成次数
582e7a16d06f27600c650906,符丫七是狗,,60,成员,2019-06-11 01:42:18,2019-08-31 21:59:31,2019-08-31 22:15:41,0,2446,1000,77694,168,41,0,0,21
57ef7ebd00d16b5dfd495a55,二四八月常晴偶雨,,60,成员,2019-06-19 15:42:26,2019-09-01 00:03:21,2019-09-01 00:23:29,64,1953,1000,52739,88,71,5,7,8
5c2a26928dda764d7b9e450e,Xxxxxxc2,,39,成员,2019-06-19 20:03:10,2019-08-25 13:14:39,2019-08-25 13:32:03,0,3816,1000,19522,54,68,0,0,32
58f970474835ec212d13dca8,核桃仁酸奶,,21,成员,2019-06-20 16:01:27,2019-07-30 21:52:31,2019-07-30 22:12:11,0,0,1000,1471,8,0,0,0,0
57dbe122043bc274d97e4836,迪奥·布兰多,,60,成员,2019-06-22 19:01:59,2019-08-31 20:13:08,2019-08-31 21:29:53,40,643,1000,69331,148,18,0,30,0
585ccaff3e33d34acb9b36f1,小左手,,60,成员,2019-06-27 02:22:24,2019-09-01 05:01:03,2019-09-01 05:28:15,264,4466,1000,64534,105,61,0,120,20
5cdd924fc435c919f2890df1,木木君,,36,成员,2019-06-30 22:58:01,2019-07-08 23:34:43,2019-07-08 23:50:50,0,0,1000,918,6,4,0,0,0
57efada3577f965dc80e1064,米七,,60,成员,2019-07-02 01:37:27,2019-08-31 12:24:17,2019-08-31 12:52:23,66,2886,1000,45444,61,28,0,24,20
580cc2c38dda76089992cb24,冢橙子,,60,成员,2019-07-03 11:22:17,2019-08-28 00:10:28,2019-08-28 00:28:08,0,20,1000,67896,7,12,0,0,0
580424a8fc9e8c16e68d014f,糯米米,,47,成员,2019-07-03 11:52:47,2019-07-07 17:23:06,2019-07-07 17:41:08,0,22,1000,14321,6,4,0,0,0
5899a768eb87673c4cf7aced,墨笔酌清寒,,42,成员,2019-07-03 22:33:54,2019-08-22 12:12:09,2019-08-22 12:33:42,0,658,1000,7135,9,61,0,0,1
5826ffcc8a52a844f7f06f78,丹阳八八,,55,成员,2019-07-04 18:11:04,2019-09-01 08:56:40,2019-09-01 08:59:22,25,243,1000,19447,18,64,0,0,0
57fa0062f1f8205c1916dc0e,给你比个大馒头,,60,成员,2019-07-05 15:46:37,2019-09-01 00:20:48,2019-09-01 01:35:15,0,1396,1000,101134,131,83,0,0,0
586a5de1e804dc3d5dc72793,周末睡懒觉,,60,成员,2019-07-05 23:33:40,2019-08-23 17:51:27,2019-08-23 18:22:31,0,1297,1000,66413,53,62,0,0,10
581c182256331a7476801db1,我很jiao焦灼,,45,成员,2019-07-05 23:35:38,2019-08-26 00:10:23,2019-08-26 00:29:31,0,0,1000,19053,7,11,0,0,0
5be81c55043bc24ed655389f,大忽悠山崎,,46,成员,2019-07-08 10:48:27,2019-08-21 16:40:15,2019-08-21 16:59:00,0,10,1000,4017,2,14,0,0,0
59d05047c689293d0e303955,鈛國,,60,成员,2019-07-09 22:10:16,2019-08-23 12:50:17,2019-08-23 13:17:37,0,117,1000,84014,9,7,0,0,1
57dfe4258dda76107d98c9f5,飞行的达克,,60,成员,2019-07-10 14:29:41,,2019-07-10 14:29:41,0,0,1000,15592,0,0,0,0,0
57dd51eddf49a00eaf65e6a5,年少如歌她如梦,,60,成员,2019-07-11 01:06:23,2019-07-31 09:13:33,2019-07-31 09:29:45,0,40,1000,66658,0,2,0,0,0
58839224357a157857b675d3,飞翔的蟹老板,,60,成员,2019-07-17 19:16:10,2019-08-29 22:44:26,2019-08-29 23:18:32,80,695,1000,138121,17,43,0,60,5
57e18a8fc689297269333f4f,淪,,60,成员,2019-07-17 21:20:05,2019-07-22 20:37:24,2019-07-22 22:09:51,0,118,1000,48764,9,10,0,0,1
5ba4e93c4835ec2ec67fc636,微微笑的猫耳朵,,30,成员,2019-07-17 21:59:29,2019-08-30 10:49:02,2019-08-30 11:35:56,34,854,1000,3936,62,29,0,12,4
57dd1c74270f1a12727a97d7,樱井鸡脖与苏老师,,60,成员,2019-07-21 17:18:00,2019-08-30 19:51:01,2019-08-30 22:57:50,34,704,1000,51592,10,22,0,24,0
57f5113deb464f5dcbfc604f,言寂,,42,成员,2019-07-22 18:04:17,2019-08-31 18:24:50,2019-08-31 19:54:24,215,2950,1000,7162,47,75,0,120,25
5c6d40bb6dee517259ae9dd5,少女之初所见,,41,成员,2019-07-27 09:57:32,2019-08-24 04:41:32,2019-08-24 05:07:45,0,0,1000,3402,4,7,0,0,0
58299c051dcc4c5e0abbbe01,且将新火试新茶,,59,成员,2019-07-29 21:10:36,2019-08-10 21:06:07,2019-08-10 21:38:28,0,45,1000,26168,7,2,0,0,0
5cd2f43c6dee516d916cfc75,吟酱,,37,成员,2019-07-31 19:00:24,2019-08-22 02:55:49,2019-08-22 03:13:43,0,896,1000,1164,7,40,0,0,0
5ce7b7d8921eaf2a0f43bde7,江湖最后一位大佬,,44,成员,2019-08-13 14:37:10,2019-08-31 23:35:33,2019-09-01 00:05:26,777,1677,1000,3377,1,38,0,180,5
582be99d577f966c5ca76e05,吴罗白y,,60,成员,2019-08-14 10:52:06,2019-08-31 08:39:39,2019-08-31 08:58:14,176,346,1000,99771,8,19,0,60,0
5c964436bf82c65dfa2f36aa,一只叫猪的佩奇,,45,成员,2019-08-14 18:27:27,2019-08-31 10:09:23,2019-08-31 10:29:50,366,1382,1000,12250,6,36,0,150,3
584eb628fa75e4363a0ce9e6,天下皆歐唯你獨非,,36,成员,2019-08-15 19:12:58,,2019-08-15 19:12:58,0,0,1000,2875,0,0,0,0,0
57e16115270f1a127bd32fd6,sullsu,,60,成员,2019-08-24 17:19:43,2019-09-01 08:11:19,2019-09-01 08:30:15,120,265,1000,95623,29,0,0,90,0
57de8ea9c68929726b5ba390,小北LD,,48,成员,2019-08-26 00:32:36,2019-08-30 01:45:32,2019-08-30 02:00:51,0,0,1000,21700,0,0,0,0,0
58a029de2bd52d7af290491d,七十年代美国经济,,60,成员,2019-08-31 20:50:26,2019-09-01 07:47:03,2019-09-01 08:47:08,25,25,1000,88801,0,4,0,0,0
58343efc0f0a7e3dff68f8d3,雪終悍刀行,,28,成员,2019-08-31 23:27:02,2019-08-31 23:27:02,2019-08-31 23:52:31,0,0,1000,657,0,2,0,0,0
57e0c2d6eb8767623f5c46d1,樱花目道,,49,成员,2019-09-01 00:41:26,2019-09-01 00:41:26,2019-09-01 00:58:01,0,0,1000,26427,0,0,0,0,0
5d3586238dd18c295e6f1076,CEMW,,9,成员,2019-07-23 18:45:22,2019-08-08 08:23:00,2019-08-08 08:39:42,0,0,0,45,0,18,0,0,0
5d67c310043bc26b26cbfed8,陌上吟长歌,,10,成员,2019-08-31 19:42:58,2019-08-31 19:42:58,2019-08-31 20:43:46,0,0,0,10,0,0,0,0,0
